Código Localidad;Barrio;Corregimiento;Municipio;Departamento;País
110436;EL CAMPO;CGTO SALGAR;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
110484;LOS ALMENDROS;GALAPA;GALAPA;ATLANTICO;COLOMBIA
110485;MANGA DE PITAL;GALAPA;GALAPA;ATLANTICO;COLOMBIA
110488;COUNTRY VILLA;EDUARDO SANTOS (LA PLAYA);BARRANQUILLA;ATLANTICO;COLOMBIA
110490;EL PRADITO;EDUARDO SANTOS (LA PLAYA);BARRANQUILLA;ATLANTICO;COLOMBIA
110509;ABAJO;PONEDERA;PONEDERA;ATLANTICO;COLOMBIA
110510;EL CENTRO;PONEDERA;PONEDERA;ATLANTICO;COLOMBIA
110511;BELLO MAR;PUERTO COLOMBIA;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
110512;EL CARMEN;PUERTO COLOMBIA;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
110760;PARAISO;REPELON;REPELON;ATLANTICO;COLOMBIA
110763;SANTA RITA;REPELON;REPELON;ATLANTICO;COLOMBIA
110768;SIETE DE AGOSTO;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110769;CASAMELL;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110770;EL CARNERO;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110771;EL LIBERTADOR;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110772;LAS COLINAS;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110773;LAS MORAS 4 ETAPA;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110774;LIBERTADOR AEROPUERTO VIEJO;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110775;MONTE CARMELO;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110777;NORMANDIA (NO USAR);SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110778;NUEVO HORIZONTE 2 ETAPA;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110779;PUERTA DE ORO;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110783;SOLEDAD;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110786;VILLA ARAGON;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
110788;VILLA ESTADIO 2 ETAPA;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
111152;PARAISO;BARANOA;BARANOA;ATLANTICO;COLOMBIA
111153;GERLEIN;GALAPA;GALAPA;ATLANTICO;COLOMBIA
8423;BOULEVAR DEL RIO;SANTA MARTA;SANTA MARTA;MAGDALENA;COLOMBIA
11940;SABANILLA;CGTO SABANILLA (MONTE CARMELO);PUERTO COLOMBIA;ATLANTICO;COLOMBIA
12330;COLOMBIA RURAL;CGTO COLOMBIA;SABANALARGA;ATLANTICO;COLOMBIA
9900;VILLA DEL ROSARIO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10090;COLOMBIA;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10260;SIAPE;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
