01 jan 2010,01 feb 2010,01 mar 2010,01 apr 2010,01 may 2010,01 jun 2010,01 jul 2010,01 aug 2010,01 sep 2010,01 oct 2010,01 nov 2010,01 dec 2010,01 jan 2011,01 feb 2011,01 mar 2011,01 apr 2011,01 may 2011,01 jun 2011,01 jul 2011,01 aug 2011,01 sep 2011,01 oct 2011,01 nov 2011,01 dec 2011,01 jan 2012,01 feb 2012,01 mar 2012,01 apr 2012,01 may 2012,01 jun 2012,01 jul 2012,01 aug 2012,01 sep 2012,01 oct 2012,01 nov 2012,01 dec 2012,01 jan 2013,01 feb 2013,01 mar 2013,01 apr 2013,01 may 2013,01 jun 2013,01 jul 2013,01 aug 2013
250,364,414,737,411,290,380,276,320,286,346,347,319,294,392,330,283,315,331,332,393,346,325,330,352,314,270,292,374,443,446,385,194,175,115,0,0,0,0,304,289,0,0,0
1342,2321,3929,3455,4773,3973,3077,3780,3286,3683,6640,2320,2160,4160,4800,4960,4800,5600,3120,5200,4695,5625,4480,2720,1040,3920,4880,3600,4480,5760,3280,5360,5920,4640,5920,0,0,0,0,6320,5200,0,0,0
8280,18480,13380,7200,7800,7320,7500,8040,10080,12600,10620,10320,11640,12960,8940,8820,9900,9780,12120,11040,6240,5820,4560,8280,8760,7680,8580,11040,13200,11520,10500,10020,11640,11460,11100,0,0,0,0,6600,6840,0,0,0
0,3850,4800,3200,6400,4960,2880,6960,6960,5920,5360,3360,1760,6240,6400,7360,6640,5727,5350,10043,12080,8769,7357,1154,7760,7474,9806,7920,7414,7262,16284,11920,12560,10000,11200,0,0,0,0,13200,7120,0,0,0
2412,0,2271,2701,2045,4471,1271,2916,2641,2630,2619,0,3979,0,0,7460,3392,2337,3326,3356,2912,2026,2499,2464,1880,1771,2407,2446,2439,2533,1706,2436,2306,2126,2519,0,0,0,0,3960,2640,0,0,0
1164,1355,1511,1451,1641,1469,1619,403,48,65,0,0,0,87,155,199,1219,1527,1618,2157,2373,2500,2208,2157,2087,1736,2088,1972,2176,2235,2264,2033,2075,2084,2050,0,0,0,0,2347,1785,0,0,0
